dptf rindffa key:  0 0 0
oepb cbbrpqe key:  1 0 0
ngeh knmvbdt key:  2 0 0
zvgg ztlhoru key:  3 0 0
cfvk ipxoyvf key:  4 0 0
mbfq uenpkhz key:  5 0 0
hxbe fgbrgok key:  6 0 0
prxj yvpxupx key:  7 0 0
vdra zfkjmri key:  8 0 0
cjdi gbigyxw key:  9 0 0
fujo sxslajd key:  10 0 0
dxue nrbargo key:  11 0 0
oixn bdokvln key:  12 0 0
mgih vjqfsaz key:  13 0 0
cvgg jufmdkc key:  14 0 0
frvj rxwxffm key:  15 0 0
axre qiudpmh key:  16 0 0
eixn ggmqlxp key:  17 0 0
thit kvluadv key:  18 0 0
uchw crzyoqc key:  19 0 0
facx pxoibuf key:  20 0 0
zkav windnyd key:  21 0 0
kikn lhxrqio key:  22 0 0
xbiq kcjkjdm key:  23 0 0
inbu zaeforc key:  24 0 0
wtnc jkyqykf key:  25 0 0
eezb alggtwo key:  0 1 0
dsel cnukcqt key:  1 1 0
ocsw nlgfbgp key:  2 1 0
zgch jzhovkn key:  3 1 0
dvgg rexyffr key:  4 1 0
obvq fsfmpok key:  5 1 0
pgbh wcmzuyr key:  6 1 0
ivgg qgljqmq key:  7 1 0
rjvi xvizlzw key:  8 1 0
qpjf sbecwjy key:  9 1 0
wlpm xgzarze key:  10 1 0
qzls dvtwwcd key:  11 1 0
yezb vjqhtao key:  12 1 0
mzes aptkdwz key:  13 1 0
xszl ulgfchd key:  14 1 0
drsj jzuxgko key:  15 1 0
otrc rehkffp key:  16 1 0
tgth gzkfpxi key:  17 1 0
pvgg jsmyakr key:  18 1 0
navx rrllffq key:  19 1 0
rjai wtozpyw key:  20 1 0
kfjk bgmcqlq key:  21 1 0
rlfm xvlaszy key:  22 1 0
qnlu daecwcm key:  23 1 0
wlnm vjwwtax key:  24 1 0
yzls dftqdcd key:  25 1 0
ushl lbfmciu key:  0 2 0
casx injsjvt key:  1 2 0
ckav qkhpkmy key:  2 2 0
kxke ehyolsa key:  3 2 0
mxxe yspwzpz key:  4 2 0
ynxu fazvmok key:  5 2 0
brnj akcxuwu key:  6 2 0
fsrl ixsjcva key:  7 2 0
fwsz gxipkxy key:  8 2 0
xiwn snhvajt key:  9 2 0
hiin yrpwrpu key:  10 2 0
ytic isoomvc key:  11 2 0
vdta awqpkwc key:  12 2 0
asdl fisdcok key:  13 2 0
nuso yipdupm key:  14 2 0
jhut kthjmdy key:  15 2 0
ufhk kdiqodb key:  16 2 0
tmfp ssswojf key:  17 2 0
ykmv cuntrqf key:  18 2 0
aakx ahnrbwx key:  19 2 0
zsal ofqrcth key:  20 2 0
khst zmxghry key:  21 2 0
ubhq zkhuyrv key:  22 2 0
anbu navwyga key:  23 2 0
yknv psbivun key:  24 2 0
thkt ahbvnwj key:  25 2 0
wsnl jehscky key:  0 3 0
fzss rxtyffd key:  1 3 0
pezb eshwpso key:  2 3 0
yien wnmkzyt key:  3 3 0
hjii aslfqww key:  4 3 0
bsjl jzcockc key:  5 3 0
vdsa reeaffy key:  6 3 0
wwdz fihdpok key:  7 3 0
puwo vjmwuay key:  8 3 0
yeub ksljddq key:  9 3 0
rjei adiwoww key:  10 3 0
ysjl swuccjf key:  11 3 0
dlsm aunarwp key:  12 3 0
osll dehrccy key:  13 3 0
jgsh vjqytah key:  14 3 0
pvgg zshwdrb key:  15 3 0
ymvp wlguyyv key:  16 3 0
djmi asutqww key:  17 3 0
osjl pgbicup key:  18 3 0
tgsh oveanty key:  19 3 0
wvgg lmhyhir key:  20 3 0
cavx vjjwjay key:  21 3 0
yeab wsvzdyd key:  22 3 0
kxee agywqwo key:  23 3 0
ysxl xvukczj key:  24 3 0
qnsu aaefwwp key:  25 3 0
fzxs fxtoeok key:  0 4 0
mqzy xbsouzz key:  1 4 0
qiqn fqajwok key:  2 4 0
frij fxixuok key:  3 4 0
hzrs sztjujc key:  4 4 0
mizn gqijrxz key:  5 4 0
vdia siidajs key:  6 4 0
ardj srqxrjc key:  7 4 0
luro kzoerdq key:  8 4 0
rhut giqdoxs key:  9 4 0
uyhr hdqcaef key:  10 4 0
llym krnexdm key:  11 4 0
tklv duorocq key:  12 4 0
rykr hhdqtef key:  13 4 0
tayx zyncxrh key:  14 4 0
tlam clgryqm key:  15 4 0
kalx dkdubcv key:  16 4 0
zaax zybqtra key:  17 4 0
knau paxiyul key:  18 4 0
kbnq clgvnqr key:  19 4 0
cnbu labbbiu key:  20 4 0
znnu iajzjvl key:  21 4 0
sxne tnxpkbt key:  22 4 0
cbxq xbybezr key:  23 4 0
qqby ynpowpt key:  24 4 0
sxqe tnazmbt key:  25 4 0
cglh dnljtct key:  0 5 0
tvgg feiotok key:  1 5 0
xxve slgoujs key:  2 5 0
paxx flgjrok key:  3 5 0
ltac fgieuok key:  4 5 0
kjti svqjujw key:  5 5 0
fyjr hxijrer key:  6 5 0
nnyu saiaxjr key:  7 5 0
dinn stqzrjd key:  8 5 0
ofik vjdzrao key:  9 5 0
tgfh xyqkdzc key:  10 5 0
qvgg xnqfwzt key:  11 5 0
qavx jiudwkx key:  12 5 0
tzas rftoffp key:  13 5 0
kzzs kgtgpdl key:  14 5 0
tazx fvmyook key:  15 5 0
tnau nalbugf key:  16 5 0
kanx wznjvyn key:  17 5 0
saax tzirqbd key:  18 5 0
knau safmejo key:  19 5 0
kqny znekrrt key:  20 5 0
wnqu qaafymq key:  21 5 0
rnnu jaqolkq key:  22 5 0
renb rnbcfft key:  23 5 0
dlem fqzcpok key:  24 5 0
ollm dnmouct key:  25 5 0
mkav iborovz key:  0 6 0
kkkv whwpkyf key:  1 6 0
xrkj zhnxqrl key:  2 6 0
enru yaprypm key:  3 6 0
mtnc gkebmxz key:  4 6 0
wctw zkbqara key:  5 6 0
srcj trsxyba key:  6 6 0
nerb cnoveqt key:  7 6 0
cqey gtbvbxu key:  8 6 0
zfqk icaoavu key:  9 6 0
ixfe irxpkvm key:  10 6 0
cbxq feopkok key:  11 6 0
apbf yqpqupx key:  12 6 0
pxpe yfpjmpe key:  13 6 0
fhxt cxigmqm key:  14 6 0
ujhi sbshbjw key:  15 6 0
zijn npsqrgs key:  16 6 0
fkiv uxxavhn key:  17 6 0
lbkq chqegqc key:  18 6 0
mibn vjfmbaz key:  19 6 0
zyir hikddei key:  20 6 0
aryj qkxxxmc key:  21 6 0
abrq kbullda key:  22 6 0
thbt giddoxp key:  23 6 0
uhht byzvalf key:  24 6 0
uahx krnysdu key:  25 6 0
hxne xunvlzp key:  0 7 0
qyxr hgwrweu key:  1 7 0
vdya ivzyxvh key:  2 7 0
ezds zntpkrt key:  3 7 0
fuzo wxduyyv key:  4 7 0
hcuw yypoqpd key:  5 7 0
xicn pdbimuo key:  6 7 0
vdia fzeknok key:  7 7 0
wtdc lusfuic key:  8 7 0
cuto jcjjjkl key:  9 7 0
ieub riidffh key:  10 7 0
nxee sdybpjq key:  11 7 0
rpxf ktmurdv key:  12 7 0
sfpk tulcobe key:  13 7 0
alfm peqieuf key:  14 7 0
fqly dxnhnch key:  15 7 0
phqt lpartix key:  16 7 0
uihn ufjujhv key:  17 7 0
hjii zlgggrw key:  18 7 0
tkjv pqyiyuc key:  19 7 0
vdka nhkangi key:  20 7 0
dadx libdvin key:  21 7 0
ouao vjjljar key:  22 7 0
kguh kkfmdds key:  23 7 0
cvgg bdyzola key:  24 7 0
lnvu qauesmf key:  25 7 0
ebqq emavhsq key:  0 8 0
rxbe xkdzzzu key:  1 8 0
qcxw iyvcwva key:  2 8 0
blcm xqcpkzy key:  3 8 0
qzls dbtvwcj key:  4 8 0
fwzz yxpwtpu key:  5 8 0
yzws ictsmvl key:  6 8 0
iizn algpkws key:  7 8 0
msil ezsbcsz key:  8 8 0
lpsf ywpezpc key:  9 8 0
srpj tzhxmbe key:  10 8 0
byrr hicdeer key:  11 8 0
jqyy gsshxxq key:  12 8 0
rwqz kpazadb key:  13 8 0
amwp urdcohq key:  14 8 0
rlmm xyotgzf key:  15 8 0
qhlt dqncwcy key:  16 8 0
ulhm owkrtti key:  17 8 0
azls dmtwhcm key:  18 8 0
ykzv zlgltrl key:  19 8 0
jhkt ahvqyws key:  20 8 0
ushl blgbclb key:  21 8 0
lmsp czbesqj key:  22 8 0
skmv tkhtbbr key:  23 8 0
zykr hhwseea key:  24 8 0
cqyy osxzxtr key:  25 8 0
ybcq lijdjim key:  0 9 0
vdba aejwjwl key:  1 9 0
ysdl knyqcdt key:  2 9 0
puso acybowl key:  3 9 0
isul cbhocqf key:  4 9 0
